record_id,title_short,screening_label,is_relevant,et_rank,tar_rank,et_score,tar_score,comparison,direction,failure_mode,lesson,hybrid_rank,hybrid_score
#466,Pan-cancer integrative analysis of whole-genome De novo somatic point mutations...,include,1,104,,0.872,,ET vs Hybrid,lost_by_ET,methodology_peripheral,Papers describing general bioinformatics pipelines or frameworks that include signature analysis as one component are borderline relevant.,50.0,0.81
#204,Unraveling most abundant mutational signatures in head and neck cancer.,exclude,0,134,,0.811,,ET vs Hybrid,lost_by_ET,topic_tangential,"Papers about cancer genomics, driver mutations, or clinical applications that mention signatures peripherally are ranked highly due to domain overlap.",52.0,0.809
#468,Unique genomic features and prognostic value of COSMIC mutational signature 4...,irrelevant,0,191,,0.717,,ET vs Hybrid,lost_by_ET,topic_tangential,"Papers about cancer genomics, driver mutations, or clinical applications that mention signatures peripherally are ranked highly due to domain overlap.",57.0,0.8
#1395,Mutational signatures: experimental design and analytical framework.,include,1,122,,0.834,,ET vs Hybrid,lost_by_ET,methodology_peripheral,Papers describing general bioinformatics pipelines or frameworks that include signature analysis as one component are borderline relevant.,60.0,0.799
#1224,Widespread redundancy in -omics profiles of cancer mutation states.,include,1,173,,0.746,,ET vs Hybrid,lost_by_ET,topic_tangential,"Papers about cancer genomics, driver mutations, or clinical applications that mention signatures peripherally are ranked highly due to domain overlap.",69.0,0.791
#4455,Computational cancer genomics,exclude,0,32,151.0,0.979,0.529,ET vs TAR,gained_by_ET,topic_tangential,,,
#340,Mutational signature assignment heterogeneity is widespread and can be...,irrelevant,0,33,117.0,0.979,0.586,ET vs TAR,gained_by_ET,topic_tangential,,,
#3069,Statistical Challenges in Mutational Signature Analyses of Cancer Sequencing...,exclude,0,37,149.0,0.976,0.537,ET vs TAR,gained_by_ET,unclassified,,,
#184,A practical framework RNMF for exploring the association between mutational...,exclude,0,45,106.0,0.959,0.597,ET vs TAR,gained_by_ET,terminology_overlap,,,
#339,Damage and Misrepair Signatures: Compact Representations of Pan-cancer...,include,1,47,104.0,0.957,0.605,ET vs TAR,gained_by_ET,methodology_peripheral,,,
